LST	all	br	gray	dark	visits_HETDEX
14.666666666666679	0.0	0.0	0.0	0.0	19.5
14.683333333333344	0.0	0.0	0.0	0.0	18.0
14.700000000000012	0.0	0.0	0.0	0.0	16.0
14.71666666666668	0.0	0.0	0.0	0.0	15.5
14.733333333333345	0.0	0.0	0.0	0.0	13.0
14.75000000000001	0.0	0.0	0.0	0.0	12.5
14.766666666666678	0.0	0.0	0.0	0.0	11.0
14.783333333333346	0.0	0.0	0.0	0.0	10.0
14.800000000000011	0.0	0.0	0.0	0.0	8.5
14.816666666666679	0.0	0.0	0.0	0.0	7.0
14.833333333333346	0.0	0.0	0.0	0.0	5.0
14.850000000000012	0.0	0.0	0.0	0.0	3.0
14.866666666666678	0.0	0.0	0.0	0.0	1.5
14.883333333333345	0.0	0.0	0.0	0.0	1.0
14.900000000000013	0.0	0.0	0.0	0.0	1.0
14.916666666666679	0.0	0.0	0.0	0.0	0.5
14.933333333333346	0.0	0.0	0.0	0.0	0.0
14.950000000000012	0.0	0.0	0.0	0.0	0.0
14.96666666666668	0.0	0.0	0.0	0.0	0.0
14.983333333333345	0.0	0.0	0.0	0.0	0.0
15.000000000000012	0.0	0.0	0.0	0.0	0.0
15.01666666666668	0.0	0.0	0.0	0.0	0.0
15.033333333333346	0.0	0.0	0.0	0.0	0.0
15.050000000000011	0.0	0.0	0.0	0.0	0.0
15.066666666666679	0.0	0.0	0.0	0.0	0.0
15.083333333333346	0.0	0.0	0.0	0.0	0.0
15.100000000000012	0.0	0.0	0.0	0.0	0.0
15.11666666666668	0.0	0.0	0.0	0.0	0.0
15.133333333333347	0.0	0.0	0.0	0.0	0.0
15.150000000000013	0.0	0.0	0.0	0.0	0.0
15.166666666666679	0.0	0.0	0.0	0.0	0.0
15.183333333333346	0.0	0.0	0.0	0.0	0.0
15.200000000000014	0.0	0.0	0.0	0.0	0.0
15.21666666666668	0.0	0.0	0.0	0.0	0.0
15.233333333333347	0.0	0.0	0.0	0.0	0.0
15.250000000000014	0.0	0.0	0.0	0.0	0.0
15.26666666666668	0.0	0.0	0.0	0.0	0.0
15.283333333333346	0.0	0.0	0.0	0.0	0.0
15.300000000000013	0.0	0.0	0.0	0.0	0.0
15.31666666666668	0.0	0.0	0.0	0.0	0.0
